user_id;affiliate_id;register_date
103617;1255;31/08/2022
103630;1753;14/02/2022
103677;1892;21/03/2022
103718;1394;05/05/2022
103774;1681;21/11/2022
103891;1081;17/01/2022
103895;1647;19/06/2022
103938;1145;11/01/2022
103953;1566;02/09/2022
104023;1860;31/05/2022
104041;1670;02/04/2022
104111;1472;17/07/2022
104156;1542;24/03/2022
104193;1267;24/04/2022
104196;1959;17/03/2022
104209;1484;02/11/2022
104358;1338;03/08/2022
104359;1192;26/09/2022
104396;1688;28/07/2022
104414;1557;04/06/2022
104428;1731;23/03/2022
104431;1729;13/05/2022
104449;1125;04/01/2022
104477;1540;18/09/2022
104502;1504;16/10/2022
104518;1248;03/12/2022
104543;1114;03/06/2022
104564;1726;28/07/2022
104619;1092;10/11/2022
104621;1271;11/10/2022
104660;1539;08/01/2022
104671;1758;23/11/2022
104683;1003;24/09/2022
104719;1693;12/03/2022
104836;1082;22/02/2022
104959;1866;02/02/2022
105029;1983;24/10/2022
105050;1301;13/05/2022
105142;1351;19/06/2022
105146;1667;30/01/2022
105164;1914;20/03/2022
105205;1488;01/04/2022
105224;1129;28/05/2022
105234;1963;08/08/2022
105243;1198;10/10/2022
105277;1503;20/03/2022
105306;1783;01/12/2022
105308;1933;07/09/2022
105403;1641;12/08/2022
105430;1865;22/02/2022
105597;1149;13/06/2022
105607;1948;07/07/2022
105677;1442;06/05/2022
105679;1111;03/10/2022
105691;1839;07/09/2022
105743;1894;02/03/2022
105766;1789;05/04/2022
105853;1363;21/06/2022
105981;1001;20/04/2022
106088;1125;03/07/2022
106111;1444;19/09/2022
106130;1811;08/07/2022
106144;1670;06/04/2022
106146;1521;16/02/2022
106158;1602;15/11/2022
106170;1635;16/01/2022
106235;1272;05/09/2022
106236;1698;31/03/2022
106246;1876;30/05/2022
106274;1903;23/05/2022
106362;1404;08/10/2022
106431;1426;01/08/2022
106469;1751;05/06/2022
106570;1479;27/01/2022
106718;1738;02/05/2022
106721;1287;15/06/2022
106796;1310;11/08/2022
106816;1806;16/02/2022
106849;1704;05/06/2022
106887;1417;26/10/2022
106959;1913;13/01/2022
106962;1212;14/01/2022
106983;1660;17/07/2022
107057;1349;31/08/2022
107090;1092;28/07/2022
107092;1617;07/12/2022
107133;1796;04/08/2022
107149;1862;23/05/2022
107238;1623;11/04/2022
107239;1455;26/10/2022
107251;1420;27/07/2022
107275;1705;03/01/2022
107282;1178;29/10/2022
107289;1331;13/09/2022
107394;1041;26/03/2022
107449;1792;28/09/2022
107493;1183;18/08/2022
107536;1940;22/08/2022
107548;1365;09/11/2022
107680;1601;23/05/2022
107701;1140;05/07/2022
107705;1270;05/10/2022
107771;1784;29/11/2022
107774;1931;20/06/2022
107844;1863;30/01/2022
107872;1602;12/01/2022
107935;1442;24/06/2022
107936;1505;08/04/2022
107939;1486;13/05/2022
107953;1042;27/11/2022
108019;1340;17/02/2022
108106;1597;03/06/2022
108117;1705;03/06/2022
108129;1493;02/03/2022
108131;1671;29/07/2022
108143;1932;29/03/2022
108148;1209;29/01/2022
108152;1080;19/02/2022
108172;1692;22/09/2022
108217;1025;27/10/2022
108225;1046;29/10/2022
108240;1557;15/04/2022
108270;1069;13/07/2022
108303;1104;23/10/2022
108381;1461;07/11/2022
108472;1490;08/08/2022
108582;1645;15/02/2022
108629;1203;30/05/2022
108630;1840;31/03/2022
108660;1764;09/01/2022
108795;1764;02/10/2022
108890;1485;29/10/2022
108902;1544;23/03/2022
108915;1040;03/01/2022
108970;1383;21/10/2022
109052;1949;01/05/2022
109085;1539;20/09/2022
109094;N/A;02/06/2022
109117;1815;26/10/2022
109146;1051;04/09/2022
109192;1961;03/06/2022
109201;1349;19/07/2022
109207;1845;27/07/2022
109254;1354;21/07/2022
109285;1816;14/05/2022
109289;1124;05/02/2022
109295;1235;03/09/2022
109299;1798;19/06/2022
109300;1042;12/08/2022
109327;1548;20/01/2022
109362;1017;10/10/2022
109421;1080;17/11/2022
109438;1790;06/08/2022
109471;1941;14/07/2022
109479;1602;28/02/2022
109544;1106;16/11/2022
109568;1439;04/04/2022
109598;1821;09/01/2022
109679;1158;20/04/2022
109709;1536;03/04/2022
109769;1696;20/05/2022
109772;1138;26/04/2022
109866;1340;02/05/2022
109923;1851;21/09/2022
109941;1256;30/11/2022
110018;1478;19/06/2022
110027;1324;08/11/2022
110047;1188;22/03/2022
110060;1513;21/02/2022
110094;1192;28/02/2022
110127;1956;14/11/2022
110182;1841;05/06/2022
110233;1634;08/11/2022
110280;1231;13/04/2022
110286;1988;14/09/2022
110372;1383;09/09/2022
110383;1792;06/06/2022
110413;1785;17/05/2022
110466;1642;22/05/2022
110494;1108;16/09/2022
110507;1211;04/08/2022
110589;1552;04/06/2022
110590;1507;27/04/2022
110618;1296;25/06/2022
110710;1631;04/06/2022
110717;1560;04/05/2022
110749;1016;14/10/2022
110751;1630;31/07/2022
110835;1128;18/09/2022
110862;1318;10/10/2022
110868;1422;18/10/2022
110885;1463;06/07/2022
110890;1644;02/07/2022
110898;1048;23/11/2022
110901;1171;02/10/2022
110928;1771;08/04/2022
110931;1956;20/10/2022
110967;1392;26/11/2022
111002;1308;26/07/2022
111013;1934;10/06/2022
111033;1660;02/09/2022
111049;1709;19/10/2022
111052;1854;25/05/2022
111061;1664;22/06/2022
111063;1287;12/07/2022
111079;1621;19/09/2022
111083;1259;21/09/2022
111096;1151;22/09/2022
111115;1425;08/02/2022
111153;1025;26/05/2022
111179;1465;31/01/2022
111323;1665;16/05/2022
111332;1244;18/07/2022
111382;1106;15/05/2022
111388;1610;15/01/2022
111441;1247;19/02/2022
111444;1923;23/03/2022
111478;1235;17/04/2022
111540;1077;09/02/2022
111566;1774;19/01/2022
111570;1148;24/04/2022
111580;1529;09/01/2022
111616;1786;11/07/2022
111619;1371;25/11/2022
111640;1753;12/10/2022
111688;1954;19/08/2022
111698;1590;26/06/2022
111731;1975;15/07/2022
111750;1313;01/08/2022
111751;1011;02/10/2022
111914;1528;03/04/2022
111925;1874;09/07/2022
111939;1896;13/03/2022
111963;1429;15/05/2022
112024;1461;08/11/2022
112034;1218;12/10/2022
112073;1758;01/08/2022
112215;1305;11/03/2022
112216;1678;18/08/2022
112281;1514;13/05/2022
112319;1485;27/06/2022
112345;1150;03/02/2022
112520;1804;23/05/2022
112537;1717;18/01/2022
112578;1345;05/08/2022
112611;1299;20/09/2022
112618;1916;28/06/2022
112619;1544;21/07/2022
112699;1731;10/08/2022
112762;1649;24/08/2022
112767;1913;23/05/2022
112791;1015;07/04/2022
112832;1457;11/04/2022
112960;1779;01/06/2022
112991;1157;24/08/2022
113007;1895;16/01/2022
113091;1331;05/01/2022
113100;1833;16/02/2022
113113;1621;30/05/2022
113141;1721;19/07/2022
113163;1959;12/08/2022
113174;1171;06/09/2022
113179;1117;27/08/2022
113237;1405;13/10/2022
113249;1601;22/10/2022
113262;1232;25/10/2022
113263;1273;25/10/2022
113297;1531;26/06/2022
113377;1528;05/03/2022
113384;1048;06/04/2022
113479;1340;26/05/2022
113515;1579;18/11/2022
113585;1947;27/05/2022
113591;1457;13/03/2022
113592;1591;19/10/2022
113623;1130;19/10/2022
113637;1499;28/05/2022
113743;1397;04/02/2022
113784;1259;29/09/2022
113801;1724;22/05/2022
113811;1532;18/03/2022
113953;1780;14/09/2022
114008;1291;19/01/2022
114061;1822;04/04/2022
114188;1887;20/06/2022
114201;1536;16/09/2022
114237;1700;22/10/2022
114280;1341;18/05/2022
114320;1896;08/07/2022
114340;1225;25/05/2022
114349;1643;19/10/2022
114391;1517;22/06/2022
114461;1608;05/07/2022
114533;1647;30/01/2022
114535;1324;21/06/2022
114547;1701;10/06/2022
114566;1222;17/02/2022
114598;1628;03/12/2022
114605;1000;04/11/2022
114622;1374;28/01/2022
114628;1526;09/05/2022
114682;1331;24/06/2022
114687;1088;04/08/2022
114707;1449;19/07/2022
114768;1846;22/09/2022
114811;1336;02/05/2022
114825;1107;28/06/2022
114831;1876;01/12/2022
114854;1904;08/01/2022
114896;1955;12/10/2022
114941;1459;21/03/2022
115119;1304;17/04/2022
115130;1180;23/11/2022
115171;1352;06/02/2022
115174;1824;04/10/2022
115234;1948;17/05/2022
115237;1496;11/11/2022
115249;1906;13/09/2022
115260;1234;18/11/2022
115264;1438;18/07/2022
115268;1231;28/03/2022
115270;1812;28/06/2022
115281;1846;01/04/2022
115294;1424;06/11/2022
115321;1734;12/05/2022
115327;1473;08/09/2022
115345;1805;21/02/2022
115365;1218;07/11/2022
115382;1956;05/06/2022
115383;1646;10/03/2022
115392;1973;17/07/2022
115406;1260;14/10/2022
115536;1331;29/07/2022
115641;1139;15/02/2022
115747;1194;08/10/2022
115759;1316;21/11/2022
115780;1757;11/10/2022
115875;1751;25/01/2022
115878;1890;04/09/2022
115910;1771;15/04/2022
115925;1460;16/04/2022
115945;1279;26/03/2022
115948;1104;17/04/2022
116011;1604;10/10/2022
116019;1396;23/07/2022
116046;1522;02/10/2022
116079;1135;03/09/2022
116118;1188;28/09/2022
116121;1645;18/05/2022
116141;1189;19/06/2022
116144;1158;24/09/2022
116207;1643;02/11/2022
116259;1749;08/07/2022
116264;1964;24/04/2022
116326;1487;12/08/2022
116478;1859;24/08/2022
116586;1162;24/02/2022
116596;1766;09/03/2022
116610;1290;14/03/2022
116616;1035;09/01/2022
116660;1475;15/11/2022
116663;1424;09/08/2022
116705;1827;01/08/2022
116763;1360;15/06/2022
116903;1632;30/05/2022
116959;1750;25/04/2022
116986;1498;07/03/2022
117030;1702;18/07/2022
117110;1005;05/11/2022
117168;1046;06/10/2022
117225;1517;11/06/2022
117231;1941;22/09/2022
117261;1124;22/11/2022
117305;1566;01/08/2022
117371;1657;06/10/2022
117417;1423;18/07/2022
117553;1069;01/10/2022
117605;1734;11/09/2022
117614;1518;06/01/2022
117626;1407;19/04/2022
117628;1539;16/02/2022
117630;1269;02/04/2022
117680;1776;05/12/2022
117714;1161;27/03/2022
117741;1047;23/04/2022
117743;1126;04/11/2022
117777;1029;27/05/2022
117846;1030;22/10/2022
117923;1950;23/06/2022
117974;1651;19/02/2022
118006;1651;21/08/2022
118029;1689;13/05/2022
118081;1429;01/08/2022
118148;1810;10/10/2022
118183;1669;16/10/2022
118186;1959;06/01/2022
118239;1280;24/09/2022
118266;1039;12/11/2022
118354;1812;07/07/2022
118386;1861;17/02/2022
118429;1845;03/06/2022
118445;1642;11/07/2022
118478;1341;16/04/2022
118530;1444;10/07/2022
118536;1586;11/06/2022
118570;1024;21/01/2022
118587;1671;15/02/2022
118619;1206;28/01/2022
118696;1179;07/05/2022
118842;1123;24/10/2022
118875;1952;01/01/2022
118931;1277;23/05/2022
118953;1698;09/03/2022
118990;1246;26/02/2022
119052;1394;28/03/2022
119098;1216;06/11/2022
119129;1114;24/02/2022
119144;1339;07/09/2022
119155;1323;18/01/2022
119161;1413;15/02/2022
119169;1160;26/08/2022
119175;1450;14/04/2022
119202;1846;19/05/2022
119223;1519;02/09/2022
119241;1938;08/10/2022
119310;1277;17/09/2022
119335;1243;12/06/2022
119361;1830;26/06/2022
119378;1866;08/01/2022
119388;1339;25/10/2022
119447;1723;14/04/2022
119452;1210;18/01/2022
119464;1320;16/06/2022
119486;1566;03/03/2022
119493;1236;13/08/2022
119541;1685;07/07/2022
119547;1043;30/09/2022
119576;1392;27/07/2022
119578;1200;29/08/2022
119590;1084;29/01/2022
119613;1173;16/07/2022
119619;1971;04/04/2022
119695;1478;03/04/2022
119708;1912;02/07/2022
119721;1829;29/10/2022
119790;1220;17/09/2022
119796;1614;14/05/2022
119821;1050;04/10/2022
119830;1638;14/06/2022
119902;1956;25/10/2022
119917;1267;15/01/2022
119948;1040;16/07/2022
119950;1452;26/03/2022
119969;1267;21/08/2022
119983;1010;10/02/2022
119986;1602;30/07/2022
120070;1459;01/05/2022
120074;1109;07/02/2022
120103;1948;19/04/2022
120111;1861;21/11/2022
120124;1495;02/12/2022
120206;1641;18/05/2022
120242;1084;03/11/2022
120245;1433;06/07/2022
120288;1704;07/06/2022
120295;1730;05/08/2022
120306;1511;07/05/2022
120317;1931;09/02/2022
120376;1530;16/09/2022
120408;1705;09/07/2022
120464;1534;30/08/2022
120579;1549;13/02/2022
120609;1651;13/06/2022
120628;1299;13/08/2022
120661;1826;28/10/2022
120662;1344;09/05/2022
120666;1796;03/10/2022
120751;1473;10/11/2022
120757;1419;23/03/2022
120767;1612;17/06/2022
120778;1451;03/06/2022
120783;1676;31/07/2022
120862;1184;26/05/2022
120878;1399;19/02/2022
120923;1717;30/04/2022
121056;1379;12/04/2022
121074;1618;17/10/2022
121078;1022;13/02/2022
121084;1694;01/06/2022
121108;1425;18/05/2022
121147;1283;11/08/2022
121156;1870;04/01/2022
121329;1994;20/10/2022
121343;1983;13/11/2022
121391;1652;01/08/2022
121422;1328;22/06/2022
121429;1117;08/04/2022
121455;1371;09/02/2022
121463;1907;17/09/2022
121469;1267;09/01/2022
121488;1373;26/08/2022
121498;1134;06/03/2022
121547;1330;31/03/2022
121580;1753;20/01/2022
121615;1587;13/05/2022
121653;1705;22/08/2022
121658;1157;10/09/2022
121667;1082;16/06/2022
121703;1000;22/03/2022
121774;1640;23/05/2022
121979;1876;18/02/2022
122000;1993;18/04/2022
122066;1044;03/02/2022
122148;1697;29/05/2022
122185;1105;06/12/2022
122268;1205;14/07/2022
122271;1570;22/06/2022
122287;1308;21/11/2022
122290;1765;06/02/2022
122295;1020;09/03/2022
122305;1379;11/05/2022
122391;1588;05/02/2022
122424;1338;09/08/2022
122484;1094;08/01/2022
122555;1432;13/11/2022
122661;1915;25/06/2022
122708;1919;24/03/2022
122714;1268;29/05/2022
122732;1486;09/08/2022
122805;1278;24/01/2022
122811;1908;06/02/2022
122833;1778;11/09/2022
122855;1808;04/11/2022
122885;1138;29/09/2022
122888;1416;06/05/2022
122891;1041;18/04/2022
122896;1958;01/10/2022
122944;1246;06/07/2022
122965;1293;11/03/2022
123066;1457;25/06/2022
123067;1880;15/01/2022
123104;1427;08/07/2022
123113;1936;28/11/2022
123136;1143;08/01/2022
123140;1197;05/05/2022
123175;1108;05/07/2022
123200;1380;10/11/2022
123214;1311;11/04/2022
123270;1407;24/04/2022
123294;1621;11/04/2022
123301;1099;11/05/2022
123303;1985;25/11/2022
123324;1141;27/01/2022
123379;1020;14/11/2022
123400;1034;21/09/2022
123510;1825;11/04/2022
123519;1094;03/10/2022
123550;1414;24/10/2022
123603;1174;07/12/2022
123632;1623;15/04/2022
123656;1340;22/02/2022
123660;1736;12/09/2022
123739;1551;04/09/2022
123745;1888;14/06/2022
123775;1114;03/08/2022
123800;1897;15/07/2022
123801;1138;28/04/2022
123804;1438;08/11/2022
123817;1145;10/07/2022
123820;1282;26/09/2022
123826;1890;14/07/2022
123867;1275;24/05/2022
123897;1297;17/02/2022
123922;1351;11/06/2022
124093;1370;17/10/2022
124158;1915;05/05/2022
124169;1826;05/05/2022
124263;1897;09/07/2022
124323;1483;21/09/2022
124395;1803;23/04/2022
124406;1807;08/05/2022
124423;1183;22/11/2022
124455;1968;01/03/2022
124457;1124;22/11/2022
124491;1832;12/11/2022
124497;1180;01/04/2022
124506;1620;30/07/2022
124509;1987;27/03/2022
124514;1174;29/04/2022
124522;1156;20/02/2022
124540;1214;03/03/2022
124580;1602;16/03/2022
124640;1580;18/01/2022
124679;1483;30/05/2022
124721;1857;21/02/2022
124767;1838;24/09/2022
124775;1486;19/07/2022
124779;1802;23/08/2022
124838;1212;01/02/2022
124846;1302;06/09/2022
124963;1839;05/04/2022
124987;1006;18/10/2022
125098;1228;11/05/2022
125100;1637;22/07/2022
125177;1484;21/05/2022
125246;1478;02/05/2022
125248;1443;07/06/2022
125261;1287;23/03/2022
125313;1729;14/03/2022
125406;1719;12/01/2022
125421;1917;29/05/2022
125425;1823;11/02/2022
125523;1012;07/07/2022
125556;1315;26/07/2022
125622;1534;20/05/2022
125623;1179;17/01/2022
125648;1560;08/07/2022
125654;1905;30/08/2022
125666;1231;18/11/2022
125685;1723;29/04/2022
125688;1863;16/07/2022
125689;1353;21/06/2022
125724;1029;04/12/2022
125737;1594;03/09/2022
125878;1799;19/03/2022
125881;1343;13/03/2022
125972;1312;03/06/2022
126031;1778;09/02/2022
126033;1921;25/10/2022
126052;1344;27/04/2022
126141;1242;28/09/2022
126160;1664;03/01/2022
126334;1019;10/10/2022
126335;1661;10/08/2022
126385;1541;18/07/2022
126404;1463;11/01/2022
126410;1164;26/05/2022
126529;1337;21/01/2022
126591;1632;03/04/2022
126607;1902;12/07/2022
126723;1442;14/09/2022
126729;1667;26/10/2022
126731;1791;06/08/2022
126733;1133;04/10/2022
126763;1907;04/02/2022
126785;1334;16/10/2022
127040;1974;05/08/2022
127112;1761;20/11/2022
127157;1539;10/01/2022
127244;1364;19/08/2022
127251;1367;29/03/2022
127275;1636;08/06/2022
127284;1469;11/05/2022
127299;1387;01/01/2022
127306;1195;24/09/2022
127338;1026;18/08/2022
127391;1759;22/02/2022
127419;1099;11/08/2022
127500;1117;11/07/2022
127505;1352;02/05/2022
127522;1275;01/01/2022
127524;1846;03/04/2022
127529;1540;14/05/2022
127567;1590;05/01/2022
127601;1451;31/01/2022
127662;1857;13/09/2022
127677;1041;09/11/2022
127704;1680;07/09/2022
127710;1949;12/06/2022
127745;1442;11/07/2022
127836;1373;31/10/2022
127841;1270;15/04/2022
127858;1042;10/07/2022
127864;1205;17/08/2022
127891;1557;22/06/2022
127922;1512;27/08/2022
127932;1652;12/06/2022
127965;1529;18/06/2022
127966;1565;25/05/2022
127987;1338;16/02/2022
128018;1333;14/10/2022
128024;1466;06/03/2022
128043;1781;27/09/2022
128113;1594;14/10/2022
128161;1979;01/09/2022
128202;1665;16/07/2022
128292;1749;05/01/2022
128316;1785;01/03/2022
128343;1890;19/01/2022
128389;1845;26/08/2022
128480;1785;16/06/2022
128487;1651;29/10/2022
128495;1771;30/04/2022
128511;1209;17/04/2022
128557;1978;21/11/2022
128579;1639;29/11/2022
128692;1135;13/04/2022
128730;1250;16/03/2022
128793;1280;16/05/2022
128826;1475;27/09/2022
128876;1248;13/01/2022
128933;1121;12/09/2022
128962;1346;13/04/2022
128974;1082;04/07/2022
129100;1069;12/05/2022
129104;1262;13/06/2022
129117;1697;20/01/2022
129139;1693;27/09/2022
129173;1702;30/06/2022
129180;1423;02/08/2022
129211;1017;30/05/2022
129299;1078;13/03/2022
129337;1442;20/02/2022
129370;1505;24/11/2022
129379;1806;19/04/2022
129396;1363;17/08/2022
129473;1570;16/03/2022
129501;1559;05/02/2022
129595;1586;20/03/2022
129618;1047;02/03/2022
129648;1195;19/11/2022
129653;1350;01/06/2022
129710;1032;23/11/2022
129794;1355;05/08/2022
129892;1019;30/06/2022
130025;1110;23/04/2022
130111;1592;06/05/2022
130287;1920;28/07/2022
130299;1458;03/11/2022
130312;1708;13/01/2022
130511;1816;01/12/2022
130558;1232;23/05/2022
130615;1543;30/01/2022
130620;1987;05/03/2022
130648;1775;27/10/2022
130662;1531;27/07/2022
130670;1307;12/07/2022
130691;1369;03/05/2022
130708;1540;22/02/2022
130773;1636;16/02/2022
130791;1616;04/10/2022
130804;1066;16/08/2022
130814;1563;26/04/2022
130821;1180;09/05/2022
130828;1868;28/09/2022
130841;1724;13/01/2022
130937;1875;06/02/2022
131020;1149;11/11/2022
131054;1001;02/11/2022
131061;1984;10/07/2022
131178;1078;28/11/2022
131181;1459;01/03/2022
131201;1333;27/09/2022
131210;1291;13/02/2022
131278;1686;06/06/2022
131343;1020;27/10/2022
131366;1280;04/10/2022
131368;1140;09/04/2022
131387;1821;02/05/2022
131487;1480;21/02/2022
131557;1079;24/11/2022
131594;1126;11/08/2022
131629;1082;19/02/2022
131781;1649;24/01/2022
131824;1570;14/07/2022
131874;1190;16/08/2022
131876;1643;24/06/2022
131877;1526;29/10/2022
131906;1591;31/01/2022
131908;1646;09/05/2022
131912;1590;17/03/2022
132016;1548;09/05/2022
132040;1135;14/06/2022
132042;1248;22/05/2022
132051;1293;03/09/2022
132063;1359;01/07/2022
132066;1321;10/09/2022
132124;1671;18/09/2022
132131;1196;15/11/2022
132192;1060;18/06/2022
132286;1211;24/11/2022
132304;1513;27/02/2022
132322;1793;24/01/2022
132381;1667;02/11/2022
132433;1110;08/08/2022
132457;1182;01/11/2022
132497;1767;12/01/2022
132584;1318;06/10/2022
132596;1093;29/09/2022
132612;1649;13/02/2022
132746;1507;26/02/2022
132791;1324;16/08/2022
132833;1786;03/06/2022
132840;1997;08/11/2022
132859;1925;04/03/2022
132975;1514;26/01/2022
132990;1539;28/06/2022
133012;1770;21/06/2022
133048;1155;04/06/2022
133085;1335;18/04/2022
133115;1075;29/04/2022
133124;1297;19/11/2022
133135;1533;13/06/2022
133203;1473;18/08/2022
133226;1013;10/10/2022
133257;1151;14/02/2022
133322;1838;01/09/2022
133374;1263;13/04/2022
133459;1666;20/11/2022
133470;1956;28/08/2022
133532;1280;07/03/2022
133545;1075;13/11/2022
133673;1772;14/11/2022
133679;1549;16/11/2022
133711;1669;17/11/2022
133754;1492;23/11/2022
133788;1526;10/02/2022
133861;1481;03/05/2022
133867;1728;06/07/2022
133877;1288;19/08/2022
133895;1063;29/10/2022
133903;1679;10/07/2022
133919;1342;16/05/2022
133997;1777;24/02/2022
134005;1472;27/09/2022
134079;1402;12/01/2022
134083;1235;27/05/2022
134089;1896;12/08/2022
134107;1604;11/10/2022
134133;1648;02/07/2022
134178;1446;21/02/2022
134229;1423;01/12/2022
134261;1342;05/09/2022
134320;1814;07/12/2022
134329;1847;11/08/2022
134332;1438;24/05/2022
134379;1993;31/05/2022
134395;1914;08/05/2022
134535;1011;17/04/2022
134541;1572;15/09/2022
134556;1558;24/07/2022
134563;1369;09/07/2022
134594;1401;26/07/2022
134606;1291;29/01/2022
134615;1925;12/08/2022
134655;1906;26/08/2022
134677;1219;05/10/2022
134709;1499;19/05/2022
134711;1219;14/11/2022
134712;1378;14/05/2022
134725;1215;01/08/2022
134745;1061;12/02/2022
134877;1930;12/09/2022
134944;1611;30/03/2022
134994;1359;25/07/2022
135028;1619;03/01/2022
135123;1746;29/06/2022
135322;1023;01/11/2022
135324;1736;25/07/2022
135332;1138;03/07/2022
135355;1501;07/01/2022
135370;1730;20/05/2022
135380;1162;26/11/2022
135381;1262;06/04/2022
135399;1802;14/11/2022
135424;1286;05/06/2022
135530;1552;26/05/2022
135539;1165;12/07/2022
135597;1223;12/02/2022
135681;1791;28/06/2022
135708;1865;19/05/2022
135808;1072;28/07/2022
135876;1766;25/10/2022
135881;1328;29/11/2022
136010;1755;23/04/2022
136113;1856;02/10/2022
136154;1280;25/05/2022
136187;1524;22/07/2022
136230;1364;21/04/2022
136284;1104;28/08/2022
136356;1354;11/08/2022
136375;1846;30/10/2022
136386;1660;30/08/2022
136423;1676;25/10/2022
136432;1394;21/10/2022
136439;1841;24/07/2022
136452;1582;22/11/2022
136455;1847;17/09/2022
136478;1790;23/04/2022
136493;1338;14/06/2022
136559;1270;20/02/2022
136645;1296;04/12/2022
136692;1960;18/06/2022
136756;1398;28/06/2022
136761;1844;06/06/2022
136832;1203;25/03/2022
136905;1192;28/11/2022
136906;1721;25/11/2022
136936;1840;10/02/2022
136937;1795;20/11/2022
136994;1147;20/08/2022
137007;1343;23/08/2022
137068;1964;21/06/2022
137091;1539;02/08/2022
137108;1916;14/06/2022
137122;1675;21/07/2022
137199;1649;09/04/2022
137220;1078;08/02/2022
137252;1627;19/06/2022
137255;1473;01/11/2022
137270;1834;17/07/2022
137388;1690;27/07/2022
137418;1356;01/12/2022
137448;1852;18/11/2022
137449;1470;31/07/2022
137458;1234;02/05/2022
137489;1434;03/03/2022
137490;1447;18/09/2022
137511;1319;22/03/2022
137531;1775;26/01/2022
137640;1892;24/03/2022
137641;1257;31/07/2022
137728;1196;09/03/2022
137735;1932;12/10/2022
137757;1710;06/04/2022
137809;1463;05/04/2022
137817;1475;09/04/2022
137828;1218;17/02/2022
137856;1422;20/11/2022
138007;1225;12/04/2022
138039;1800;13/08/2022
138049;1004;15/03/2022
138079;1499;16/03/2022
138180;1345;27/06/2022
138204;1096;28/03/2022
138254;1879;11/08/2022
138301;1821;01/11/2022
138306;1715;14/08/2022
138349;1762;25/08/2022
138370;1653;29/01/2022
138459;1655;19/04/2022
138547;1601;18/08/2022
138557;1580;21/11/2022
138582;1375;05/05/2022
138591;1694;27/03/2022
138694;1371;04/04/2022
138715;1670;02/10/2022
138744;1973;26/09/2022
138757;1439;21/04/2022
138835;1731;05/04/2022
138922;1358;25/06/2022
138940;1731;28/01/2022
138995;1963;25/05/2022
138996;1999;28/04/2022
139095;1053;13/10/2022
139108;1265;18/06/2022
139128;1840;30/10/2022
139180;1380;19/07/2022
139221;1698;14/05/2022
139246;1898;18/05/2022
